ized +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services, POST} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/reservation/:reservationId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/reservation/:reservationId/total, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/reservation-services/statistics/services, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] PropertyServicesController {/api/property-services}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/property-services, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/property-services/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/property-services, POST} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/property-services/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/property-services/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] RestaurantsController {/api/restaurants}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/:id, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/areas, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/:restaurantId/areas, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/areas/:id, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/areas/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/areas/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables/available, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables/:id, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/tables/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id/confirm, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id/cancel, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id/seat, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/restaurants/bookings/:id/complete, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] PayrollController {/api/payroll}: +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/bulk, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll/generate/:period, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payroll, GET} route +1ms
